L	-0.0163	3.0036	1477010443600000	-0.0517	3.2969	-0.1719	0.9851
L	-0.3962	4.0054	1477010444400000	-0.2923	4.0577	-0.4115	0.9114
L	-0.6983	4.7570	1477010445200000	-0.7145	4.7347	-0.6252	0.7804
L	-1.3543	5.1817	1477010446000000	-1.2919	5.2854	-0.7997	0.6004
L	-1.7765	5.8295	1477010446800000	-1.9880	5.6753	-0.9239	0.3827
L	-2.7262	5.9225	1477010447600000	-2.7593	5.8798	-0.9900	0.1409
L	-3.3744	5.7270	1477010448400000	-3.5572	5.8861	-0.9940	-0.1097
L	-4.2633	5.3818	1477010449200000	-4.3315	5.6937	-0.9354	-0.3535
L	-4.9821	5.2636	1477010450000000	-5.0337	5.3148	-0.8182	-0.5750
L	-5.5323	4.8997	1477010450800000	-5.6197	4.7732	-0.6495	-0.7604
L	-6.1628	4.1403	1477010451600000	-6.0525	4.1029	-0.4400	-0.8980
L	-6.0999	3.1889	1477010452400000	-6.3050	3.3460	-0.2028	-0.9792
L	-6.2933	2.8308	1477010453200000	-6.3614	2.5501	0.0471	-0.9989
L	-6.2098	1.6763	1477010454000000	-6.2180	1.7652	0.2940	-0.9558
L	-5.8570	0.9807	1477010454800000	-5.8840	1.0406	0.5225	-0.8527
L	-5.3321	0.5618	1477010455600000	-5.3802	0.4218	0.7181	-0.6959
L	-4.8689	-0.1786	1477010456400000	-4.7384	-0.0523	0.8686	-0.4955
L	-3.9040	-0.3057	1477010457200000	-3.9988	-0.3518	0.9646	-0.2639
L	-3.3289	-0.1765	1477010458000000	-3.2080	-0.4580	0.9999	-0.0157
L	-2.2565	-0.1236	1477010458800000	-2.4157	-0.3642	0.9724	0.2334
L	-1.6595	-0.0798	1477010459600000	-1.6715	-0.0764	0.8838	0.4679
L	-0.8402	0.4980	1477010460400000	-1.0223	0.3876	0.7397	0.6730
L	-0.4458	0.9795	1477010461200000	-0.5089	0.9983	0.5491	0.8358
L	-0.1926	1.9877	1477010462000000	-0.1635	1.7176	0.3240	0.9461
L	-0.0188	2.5138	1477010462800000	-0.0079	2.5002	0.0785	0.9969
L	-0.0050	3.2305	1477010463600000	0.0345	3.2982	0.1409	0.9900
L	0.3489	4.0380	1477010464400000	0.2511	4.0662	0.3827	0.9239
L	0.5857	4.7697	1477010465200000	0.6518	4.7561	0.6004	0.7997
L	1.1203	5.2962	1477010466000000	1.2116	5.3248	0.7804	0.6252
L	1.8558	5.7261	1477010466800000	1.8952	5.7363	0.9114	0.4115
L	2.8127	5.9838	1477010467600000	2.6596	5.9649	0.9851	0.1719
L	3.4077	5.9919	1477010468400000	3.4569	5.9962	0.9969	-0.0785
L	4.2907	5.6705	1477010469200000	4.2369	5.8283	0.9461	-0.3239
L	5.2105	5.6450	1477010470000000	4.9507	5.4717	0.8358	-0.5490
L	5.4837	4.8958	1477010470800000	5.5533	4.9487	0.6730	-0.7396
L	6.1784	4.4609	1477010471600000	6.0070	4.2923	0.4679	-0.8838
L	6.3937	3.3267	1477010472400000	6.2832	3.5437	0.2334	-0.9724
L	6.0872	3.0007	1477010473200000	6.3645	2.7500	-0.0157	-0.9999
L	6.2365	2.0483	1477010474000000	6.2459	1.9610	-0.2639	-0.9646
L	5.6940	1.1837	1477010474800000	5.9347	1.2262	-0.4955	-0.8686
L	5.4332	0.9605	1477010475600000	5.4507	0.5919	-0.6959	-0.7181
L	4.9960	0.1854	1477010476400000	4.8241	0.0979	-0.8526	-0.5225
L	4.0479	-0.4441	1477010477200000	4.0943	-0.2247	-0.9558	-0.2940
L	3.3473	-0.2057	1477010478000000	3.3072	-0.3557	-0.9989	-0.0471
L	2.7443	-0.1553	1477010478800000	2.5123	-0.2868	-0.9792	0.2028
L	1.4220	-0.0810	1477010479600000	1.7594	-0.0225	-0.8980	0.4399
L	1.2649	0.5139	1477010480400000	1.0960	0.4208	-0.7604	0.6494
L	0.4363	1.0955	1477010481200000	0.5637	1.0152	-0.5750	0.8181
L	0.1938	1.9165	1477010482000000	0.1959	1.7233	-0.3535	0.9354
L	0.0659	2.6006	1477010482800000	0.0157	2.5006	-0.1097	0.9940
