-0.0163	3.0036	0	0	-0.0163	3.0036	-0.0517	3.2969	-0.1719	0.9851
-0.392892	3.99668	-0.456333	1.20335	-0.3962	4.0054	-0.2923	4.0577	-0.4115	0.9114
-0.698755	4.75854	-0.36014	0.87707	-0.6983	4.757	-0.7145	4.7347	-0.6252	0.7804
-1.34956	5.1853	-1.04282	0.359623	-1.3543	5.1817	-1.2919	5.2854	-0.7997	0.6004
-1.78227	5.82445	-0.263132	1.04205	-1.7765	5.8295	-1.988	5.6753	-0.9239	0.3827
-2.71558	5.93316	-1.67713	-0.37613	-2.7262	5.9225	-2.7593	5.8798	-0.99	0.1409
-3.38434	5.72562	-0.358218	-0.193133	-3.3744	5.727	-3.5572	5.8861	-0.994	-0.1097
-4.25466	5.38456	-1.50285	-0.558936	-4.2633	5.3818	-4.3315	5.6937	-0.9354	-0.3535
-4.98903	5.25884	-0.585229	0.0714147	-4.9821	5.2636	-5.0337	5.3148	-0.8182	-0.575
-5.5312	4.90577	-0.730343	-0.733047	-5.5323	4.8997	-5.6197	4.7732	-0.6495	-0.7604
-6.16211	4.14291	-0.821793	-1.07904	-6.1628	4.1403	-6.0525	4.1029	-0.44	-0.898
-6.1104	3.19022	0.568954	-1.25448	-6.0999	3.1889	-6.305	3.346	-0.2028	-0.9792
-6.28399	2.8214	-0.664138	-0.00961171	-6.2933	2.8308	-6.3614	2.5501	0.0471	-0.9989
-6.21863	1.69289	0.506025	-2.20772	-6.2098	1.6763	-6.218	1.7652	0.294	-0.9558
-5.85637	0.965324	0.422565	-0.170846	-5.857	0.9807	-5.884	1.0406	0.5225	-0.8527
-5.33482	0.565693	0.782441	-0.686541	-5.3321	0.5618	-5.3802	0.4218	0.7181	-0.6959
-4.86657	-0.175754	0.473164	-1.0635	-4.8689	-0.1786	-4.7384	-0.0523	0.8686	-0.4955
-3.91252	-0.316217	1.60184	0.32959	-3.904	-0.3057	-3.9988	-0.3518	0.9646	-0.2639
-3.31872	-0.174692	0.253207	0.0900399	-3.3289	-0.1765	-3.208	-0.458	0.9999	-0.0157
-2.26904	-0.123295	1.91453	0.0495717	-2.2565	-0.1236	-2.4157	-0.3642	0.9724	0.2334
-1.64605	-0.079856	0.132559	0.0569872	-1.6595	-0.0798	-1.6715	-0.0764	0.8838	0.4679
-0.850409	0.490235	1.48496	1.08562	-0.8402	0.498	-1.0223	0.3876	0.7397	0.673
-0.434372	0.985033	-0.0289196	0.352738	-0.4458	0.9795	-0.5089	0.9983	0.5491	0.8358
-0.196465	1.97719	0.483027	1.7451	-0.1926	1.9877	-0.1635	1.7176	0.324	0.9461
-0.0157545	2.52634	0.0795937	0.0841349	-0.0188	2.5138	-0.0079	2.5002	0.0785	0.9969
-0.00422795	3.22121	-0.0226778	1.31489	-0.005	3.2305	0.0345	3.2982	0.1409	0.99
0.343484	4.04143	0.69482	0.860509	0.3489	4.038	0.2511	4.0662	0.3827	0.9239
0.590276	4.76912	0.0886955	0.937546	0.5857	4.7697	0.6518	4.7561	0.6004	0.7997
1.1136	5.29945	0.975868	0.506674	1.1203	5.2962	1.2116	5.3248	0.7804	0.6252
1.85636	5.72579	0.901471	0.547854	1.8558	5.7261	1.8952	5.7363	0.9114	0.4115
2.80927	5.98643	1.35593	0.199469	2.8127	5.9838	2.6596	5.9649	0.9851	0.1719
3.41479	5.99415	0.416104	-0.0983468	3.4077	5.9919	3.4569	5.9962	0.9969	-0.0785
4.28278	5.67407	1.46552	-0.571765	4.2907	5.6705	4.2369	5.8283	0.9461	-0.3239
5.21407	5.63875	0.992636	0.256021	5.2105	5.645	4.9507	5.4717	0.8358	-0.549
5.49135	4.90963	-0.020945	-1.57559	5.4837	4.8958	5.5533	4.9487	0.673	-0.7396
6.16813	4.44906	1.33919	-0.00685366	6.1784	4.4609	6.007	4.2923	0.4679	-0.8838
6.40604	3.34299	-0.295332	-2.16527	6.3937	3.3267	6.2832	3.5437	0.2334	-0.9724
6.0884	2.98042	-0.454909	0.520824	6.0872	3.0007	6.3645	2.75	-0.0157	-0.9999
6.22903	2.06798	0.5346	-2.08576	6.2365	2.0483	6.2459	1.961	-0.2639	-0.9646
5.70804	1.17226	-1.32589	-0.569999	5.694	1.1837	5.9347	1.2262	-0.4955	-0.8686
5.42174	0.956937	0.192836	-0.0979895	5.4332	0.9605	5.4507	0.5919	-0.6959	-0.7181
5.00446	0.195512	-0.928051	-1.43753	4.996	0.1854	4.8241	0.0979	-0.8526	-0.5225
4.05102	-0.451546	-1.34185	-0.451135	4.0479	-0.4441	4.0943	-0.2247	-0.9558	-0.294
3.34191	-0.214552	-0.627278	0.721448	3.3473	-0.2057	3.3072	-0.3557	-0.9989	-0.0471
2.7457	-0.147744	-0.812384	-0.279433	2.7443	-0.1553	2.5123	-0.2868	-0.9792	0.2028
1.43183	-0.085235	-2.11452	0.281568	1.422	-0.081	1.7594	-0.0225	-0.898	0.4399
1.24266	0.508445	0.832011	1.00411	1.2649	0.5139	1.096	0.4208	-0.7604	0.6494
0.457774	1.09865	-2.01264	0.586227	0.4363	1.0955	0.5637	1.0152	-0.575	0.8181
0.174161	1.91141	0.588836	1.26042	0.1938	1.9165	0.1959	1.7233	-0.3535	0.9354
0.0743518	2.60526	-0.530749	0.643652	0.0659	2.6006	0.0157	2.5006	-0.1097	0.994
